a_len,avg_ctx_len_tokens,best_context_len,best_context_share,content_precision_token,content_term_support_rate,content_unsupported_mass,context_alignment.answer_context_similarity,context_alignment.best_context_similarity,entity_match.DATE__len,entity_match.MONEY__len,entity_match.NUMBER__len,entity_match.PERCENT__len,entity_match.PHONE__len,entity_match.QUANTITY__len,entity_match.overall,entity_match.presence_by_type.DATE,entity_match.presence_by_type.MONEY,entity_match.presence_by_type.NUMBER,entity_match.presence_by_type.PERCENT,entity_match.presence_by_type.PHONE,entity_match.presence_by_type.QUANTITY,entity_match.state_by_type.DATE,entity_match.state_by_type.MONEY,entity_match.state_by_type.NUMBER,entity_match.state_by_type.PERCENT,entity_match.state_by_type.PHONE,entity_match.state_by_type.QUANTITY,entity_match.unsupported__len,hallucination_risk_score,head_noun_support_rate,mean_sentence_precision,min_sentence_precision,num_contexts,numeric_match,p90_sentence_precision,per_sentence__len,per_sentence__max,per_sentence__mean,per_sentence__min,precision_token,q_len,qa_len_ratio,qr_alignment.answer_covers_question,qr_alignment.answer_covers_question_sem,qr_alignment.cosine_embed,qr_alignment.cosine_tfidf,recall_context,supported_entities.by_type.DATE,supported_entities.by_type.MONEY,supported_entities.by_type.NUMBER,supported_entities.by_type.PERCENT,supported_entities.by_type.QUANTITY,supported_entities.count,supported_entities.items__len,supported_terms__len,supported_terms_per_sentence__len,supported_topk_impact,unsupported_entity_count,unsupported_entity_mass,unsupported_mass,unsupported_numbers__len,unsupported_numeric_count,unsupported_numeric_rate,unsupported_term_count,unsupported_term_rate,unsupported_terms__len,unsupported_terms_per_sentence__len,unsupported_to_supported_ratio,unsupported_topk_count,unsupported_topk_impact,unsupported_topk_terms__len,y,q,a
3.000000,16.000000,10.000000,0.039500,0.698800,0.800000,0.301200,0.598400,0.740100,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,0.000000,0.439300,0.500000,0.560700,0.560700,2.000000,1.000000,0.560700,1.000000,0.560700,0.560700,0.560700,0.560700,5.000000,0.600000,0.314000,0.157000,0.725600,0.326300,0.070400,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.223100,0.000000,0.000000,0.439300,0.000000,0.000000,0.000000,1.000000,0.333300,1.000000,1.000000,1.566800,1.000000,1.916300,1.000000,1,"What is the expected market expansion percentage for 2024?","The market is expected to expand by 15%."
4.000000,15.500000,11.000000,0.148900,0.758100,0.800000,0.241900,0.523200,0.744500,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.288100,1.000000,0.711900,0.711900,2.000000,1.000000,0.711900,1.000000,0.711900,0.711900,0.711900,0.711900,8.000000,0.500000,0.298600,0.000000,0.718900,0.398500,0.209200,0.000000,0.000000,2.000000,0.000000,0.000000,2.000000,2.000000,3.000000,1.000000,1.510800,0.000000,0.000000,0.288100,0.000000,0.000000,0.000000,1.000000,0.250000,1.000000,1.000000,1.000000,1.000000,1.510800,1.000000,1,"What was the total number of active users reported last quarter?","The total active users were 2 million."
2.000000,17.000000,11.000000,0.000000,0.439100,0.600000,0.560900,0.457300,0.649900,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.285700,0.000000,0.000000,0.432900,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,2.000000,1.000000,3832600.000000,2.000000,3.832600,2.000000,1,"What is the company's plan for reducing carbon emissions?","They aim for a 30% reduction by 2030."
4.000000,12.500000,8.000000,0.426300,1.000000,1.000000,0.000000,0.602200,0.923400,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,0.800000,0.489100,0.000000,0.857600,0.501400,0.426300,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"When is the next board meeting scheduled?","The next board meeting is on March 15, 2024."
4.000000,13.000000,11.000000,0.136800,0.782800,0.833300,0.217200,0.636400,0.829700,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,0.000000,0.291700,0.500000,0.708300,0.708300,2.000000,1.000000,0.708300,1.000000,0.708300,0.708300,0.708300,0.708300,7.000000,0.571400,0.474000,0.000000,0.782700,0.617000,0.193100,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.223100,0.000000,0.000000,0.291700,0.000000,0.000000,0.000000,1.000000,0.250000,1.000000,1.000000,1.235200,1.000000,1.510800,1.000000,1,"What is the projected decrease in operating expenses for next year?","Operating expenses are projected to decrease by 5%."
3.000000,13.500000,10.000000,0.217900,1.000000,1.000000,0.000000,0.708300,0.768700,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,0.600000,0.288300,0.000000,0.648600,0.302100,0.217900,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"What is the weight limit for the new product?","The weight limit is 200 kg."
4.000000,13.000000,8.000000,0.392700,1.000000,1.000000,0.000000,0.649900,0.859800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.500000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,0.800000,0.473500,0.000000,0.768700,0.473300,0.392700,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"When was the product launch event held?","The product launch event was on September 20, 2023."
6.000000,15.000000,12.000000,0.418400,1.000000,1.000000,0.000000,0.642000,0.886600,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,1.200000,0.501400,0.000000,0.702600,0.384500,0.418400,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"What is the new pricing model for the service?","The new pricing model starts at $15 per month."
6.000000,14.500000,14.000000,0.135200,0.639800,0.666700,0.360200,0.784600,0.861900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.425200,0.666700,0.574800,0.574800,2.000000,1.000000,0.574800,1.000000,0.574800,0.574800,0.574800,0.574800,7.000000,0.857100,0.106300,0.000000,0.536600,0.090500,0.235200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,2.733900,0.000000,0.000000,0.425200,0.000000,0.000000,0.000000,2.000000,0.333300,2.000000,1.000000,1.401900,2.000000,3.832600,2.000000,1,"What are the new features included in the latest software update?","The update includes a dark mode and enhanced security."
4.000000,12.000000,11.000000,0.008700,0.761800,0.750000,0.238200,0.612000,0.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,1.000000,0.842400,0.000000,0.157600,0.157600,2.000000,1.000000,0.157600,1.000000,0.157600,0.157600,0.157600,0.157600,6.000000,0.666700,0.280200,0.111600,0.598600,0.271000,0.055500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.842400,0.000000,0.000000,0.000000,3.000000,0.750000,3.000000,1.000000,5.343400,3.000000,5.343400,3.000000,1,"What is the standard warranty period for the new product?","The warranty period is two years."
3.000000,13.000000,10.000000,0.229600,1.000000,1.000000,0.000000,0.602000,0.753100,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,0.600000,0.517100,0.000000,0.684500,0.655600,0.229600,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,"What was the reported profit margin for Q2?","Profit margin was reported at 30%."
4.000000,15.000000,14.000000,0.160900,1.000000,1.000000,0.000000,0.628500,0.742100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6.000000,0.666700,0.374800,0.000000,0.717700,0.411400,0.160900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,"What is the company's stance on remote work?","Remote work is not allowed in the company."
3.000000,15.500000,13.000000,0.186600,1.000000,1.000000,0.000000,0.486300,0.689900,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,0.600000,0.331300,0.165600,0.651600,0.388800,0.186600,0.000000,1.000000,1.000000,0.000000,0.000000,2.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,"What is the sales target for next quarter?","The sales target is $10 million."
5.000000,14.500000,13.000000,0.271400,0.874700,0.833300,0.125300,0.626400,0.759300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000,0.714300,0.239000,0.000000,0.603000,0.241400,0.271400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,"How many new hires are expected this year?","The company plans to hire 500 new employees."
2.000000,12.000000,8.000000,0.053500,0.500000,0.500000,0.500000,0.580700,0.669300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,1.000000,0.500000,0.500000,0.500000,0.500000,2.000000,1.000000,0.500000,1.000000,0.500000,0.500000,0.500000,0.500000,4.000000,0.500000,0.234300,0.234300,0.655200,0.329400,0.107000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.510800,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.510800,1.000000,0,"What is the deadline for project submissions?","The deadline is December 31, 2023."
3.000000,13.500000,10.000000,0.018200,0.763200,0.750000,0.236800,0.602900,0.668200,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,0.000000,0.737000,1.000000,0.263000,0.263000,2.000000,1.000000,0.263000,1.000000,0.263000,0.263000,0.263000,0.263000,7.000000,0.428600,0.237600,0.106300,0.673400,0.314600,0.069300,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.223100,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,2.000000,0.666700,2.000000,1.000000,2.802000,2.000000,3.427100,2.000000,0,"What is the expected return on investment (ROI) for the new initiative?","The expected ROI is around 20%."
3.000000,13.500000,7.000000,0.074800,0.644100,0.666700,0.355900,0.580100,0.632100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355900,1.000000,0.644100,0.644100,2.000000,1.000000,0.644100,1.000000,0.644100,0.644100,0.644100,0.644100,7.000000,0.428600,0.237600,0.106300,0.575500,0.348800,0.116100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.510800,0.000000,0.000000,0.355900,0.000000,0.000000,0.000000,1.000000,0.333300,1.000000,1.000000,1.000000,1.000000,1.510800,1.000000,0,"What is the target customer demographic for the new marketing campaign?","The campaign targets millennials."
